Descricao;Unidade
CANALETA MED. 20 X 10 PRETA ** STECK/MARGIRIUS ** C/ DUPLA FACE;PC
CANALETA MED. 20 X 12 ** SHINEIDER ** C/ DUPLA FACE;PC
CANALETA GRAN. 40 X 16 ** TRAMONTINA ** C/ DUPLA FACE;PC
CANALETA - CONEXAO P/ CANALETA 13 X 07 - COTOVELO * L *;PC
CANALETA - CONEXAO P/ CANALETA 13 X 07 - LUVA * RETA *;PC
CANALETA - CONEXAO P/ CANALETA 20 X 12 - *T*;PC
CANALETA - CONEXAO P/ CANALETA 20 X 12 - CANTO 90 * EXTERNO;PC
CANALETA - CONEXAO P/ CANALETA 20 X 12 - CANTO 90 * INTERNO;PC
CANALETA - CONEXAO P/ CANALETA 20 X 12 - COTOVELO * L *;PC
CANALETA - CONEXAO P/ CANALETA 20 X 12 - LUVA * RETA *;PC
CANALETA P/PAINEL 100X100MM - CZ ( SEMI ABERTO );PC
CANALETA P/PAINEL 20X20MM - BR ( SEMI ABERTO );PC
CANALETA P/PAINEL 20X20MM - CZ ( SEMI ABERTO );PC
CANALETA P/PAINEL 30X30MM - BR ( SEMI ABERTO );PC
CANALETA P/PAINEL 30X30MM - CZ ( SEMI ABERTO );PC
CANALETA P/PAINEL 30X50MM - CZ ( SEMI ABERTO );PC
CANALETA P/PAINEL 50X50MM - CZ ( SEMI ABERTO );PC
CANALETA P/PAINEL 80X50MM - CZ ( SEMI ABERTO );PC
CANALETA P/PAINEL 80X80MM - CZ ( SEMI ABERTO );PC
CANALETA P/PISO 25X12 MM 2 MT;BR
CANALETA P/PISO 50X20 MM 2 MT;BR
CANALETA PERFIL - PERFIL DUPLO R40 3MT;PC
CANALETA PERFIL - PORTA MODULO R40 3 POSICOES;PC
CANALETA PERFIL - TAMPA PERFIL R40 3MT;PC
CAPACITOR 2 FIOS PARA VENTILADOR -- 10UF;PC
CAPACITOR 2 FIOS PARA VENTILADOR -- 4UF;PC
CAPACITOR 3 FIOS PARA VENTILADOR -- 1.5+2.5UF;PC
CAPACITOR 3 FIOS PARA VENTILADOR -- 3+7UF;PC
CAPACITOR 2 FIOS MOTOR DE PORTAO -- 12 UF;PC
CAPACITOR 04 MF - PARA REFRIGERAÇÃO;PC
CAPACITOR PARTIDA 270-324UF;PC
CAPACITOR PERMANENTE 15UF;PC
CAPACITOR PERMANENTE 20UF;PC
CAPACITOR PERMANENTE 20UF 400V;PC
CAPACITOR PERMANENTE 25UF;PC
CAPACITOR PERMANENTE 30UF;PC
CAPACITOR PERMANENTE 40UF;PC
CAPACITOR PERMANENTE 50UF;PC
CARRINHO SUPORTE ENROLADOR TRAMONTINA - P55MT;UN
CARTUCHO C/ FERRAGEM MATEUS - 60A;PC
CARTUCHO S/ FERRAGEM MATEUS - 60A;PC
CARTUCHO C/ FERRAGEM CINZA LB - 100A;PC
CARTUCHO S/ FERRAGEMCINZA LB - 100A;PC
CENTRINHO PVC FLANGE PARA EMENDA DE QUADRO;PC
CENTRINHO PVC ( 2* ILUMI/AC&A ) 8/12 DIN EMBUTIR;PC
CENTRINHO PVC ( 2* ILUMI/AC&A ) 8/12DIN SOBREPOR;PC
CENTRINHO PVC ( 2* ILUMI/AC&A ) 12/16DIN EMBUTIR;PC
CENTRINHO PVC ( 2* ILUMI/AC&A ) 12/18 DIN SOBREPOR;PC
CENTRINHO PVC ( 2* ILUMI/AC&A ) 16/18 DIN EMBUTIR;PC
CENTRINHO PVC ( 2* ILUMI/AC&A ) 24DIN EMBUTIR;PC
CENTRINHO PVC ( 2* ILUMI/AC&A ) 36DIN EMBUTIR;PC
CENTRINHO PVC 5/6DIN EMBUTIR - BRUM/WEG;PC
CENTRINHO PVC 8/9DIN EMBUTIR - BRUM/WEG;PC
CENTRINHO PVC 12DIN EMBUTIR - BRUM/WEG;PC
CENTRINHO PVC 18DIN EMBUTIR - BRUM/WEG;PC
CENTRINHO PVC 24DIN EMBUTIR - BRUM/WEG;PC
CENTRINHO PVC 36DIN EMBUTIR - BRUM/WEG;PC
CENTRINHO PVC 5/6DIN SOBREPOR - BRUM/WEG;PC
CENTRINHO PVC 8/9DIN SOBREPOR - BRUM/WEG;PC
CENTRINHO PVC 12DIN SOBREPOR - BRUM/WEG;PC
CENTRINHO PVC 18DIN SOBREPOR - BRUM/WEG;UN
CENTRINHO PVC 24DIN SOBREPOR - BRUM/WEG;PC
CENTRINHO PVC 36DIN SOBREPOR - BRUM/WEG;PC
CERCA CONCERTINA - HASTE 0.30 CM ( C/ BASE );PC
CERCA CONCERTINA - HASTE DE ALM. ESTRELA** 01 MT X 1'' ** - ( 4 ISOL.);PC
CERCA CONCERTINA - ROLO DE CONCERTINA SIMPLES 315MM ( 10 MT );PC
CERCA ELETRICA - BIG HASTE 25X25 1.20MT TIPO W;PC
CERCA ELETRICA - CABO ALTA TENSAO 4/5/7MM;MT
CERCA ELETRICA - CENTRAL GCP 10.000V / JFL NOVA;PC
CERCA ELETRICA - FIO DE ACO ( FINO 0.45MM ) ( 400G / 350 MT );PC
CERCA ELETRICA - FIO DE ACO ( GROSSO 0.90MM ) ( 990G / 177 MT );PC
CERCA ELETRICA - HASTE C/4 ISOLADORES;PC
CERCA ELETRICA - HASTE C/8 ISOLADORES;PC
CERCA ELETRICA - PLACA DE AVISO;PC
CHAPÉU PESCADOR;UN
CHAVE ALAVANCA (CABO P CHAVE MG) GRANDE;PC
CHAVE ALAVANCA (CABO P CHAVE MG) PEQUENA;PC
CHAVE SOFTS-TARTER SSW05 220V ( 30A );PC
CHAVE SOFTS-TARTER SSW05 220V ( 60A );PC
CHAVE SOFTS-TARTER SSW07 220V ( 30A );PC
CHAVE SOFTS-TARTER SSW07 220V ( 95A - 30VC );PC
CHAVE SOFTS-TARTER SSW07 220V (75A - 30VC );PC
CHAVE SOFTS-TARTER SSW07 220V / 380V ( 412A );PC
CHAVE SOFTS-TARTER SSW07 380V ( 130A );PC
CHAVE SOFTS-TARTER SSW07 380V ( 200A );PC
CHAVE SOFTS-TARTER SSW07 380V ( 45A );PC
CHAVE ALAVANCA MG BIPO FERRO (CS 301C) 10A;PC
CHAVE ALAVANCA MG TRIP. FERRO (CS 301) 20A;PC
CHAVE ALAVANCA MG UNIP. FERRO LIG/DESL. 14123;PC
CHAVE ALAVANCA MG UNIP. FERRO REVER. (14103);PC
CHAVE ALAVANCA MG UNIP. PLASTICA PT (CS 301D);PC
CHAVE ALAVANCA * SIBRATEC * UNIP. (LIG/DESL.);PC
CHAVE ALAVANCA * SIBRATEC * UNIP. (REVERSORA);PC
CHAVE ALAVANCA * SIBRATEC * BIPOL. (LIGA/DESLIGA);PC
CHAVE ALAVANCA * SIBRATEC * BIPOL. (REVERSORA);PC
CHAVE ALAVANCA CX ** LOMBARD ** ESTRELA/TRIANGULO - 15 HP / 45A;PC
CHAVE ALAVANCA CX ** MG ** ESTRELA/TRIANGULO - 13.5 HP / 40A (CET-840);PC
CHAVE ALAVANCA CX ** MG ** LIGA/DESL - 30A (CS-830);PC
CHAVE ALAVANCA CX ** MG ** LIGA/DESL - 30A (PM-830) MONO;PC
CHAVE ALAVANCA CX ** MG ** REVERSORA - 30A (CR-830);PC
CHAVE ALAVANCA CX ** JNG ** LIGA/DESL - QS15-15A*;PC
CHAVE ALAVANCA CX ** JNG ** LIGA/DESL - QS15-63A*;PC
CHAVE ALAVANCA CX ** JNG ** REVERSSORA - KO3-15A*;PC
CHAVE BOIA **MG** - COMUM;PC
CHAVE BOIA **MG** CB1007 - VARETA / INFERIOR;PC
CHAVE BOIA **MG** CB1008 - VARETA / SUPERIOR;PC
CHAVE COMUT. LW26-32A (7X7 6N/3 REVERSSORA);PC
CHAVE COMUT. LW26-63A (7X7 6N/3 REVERSSORA);PC
CHAVE COMUT. 5X5CM JNG REV. LW26-20 6N/3;PC
CHAVE DE TRANSFERENCIA AUTOMATICA SOB CARGA - 100A;PC
CHAVE DE TRANSFERENCIA AUTOMATICA SOB CARGA - 63A;PC
CHAVE MAG. WEG 1CV (220V) PDW02;PC
CHAVE MAG. WEG 2CV (220V) PDW02;PC
CHAVE MAG. WEG 3CV (220V) PDW02;PC
CHAVE MAG. WEG 4CV (220V) PDW02;PC
CHAVE MAG. WEG 5CV (220V) PDW02;PC
CHAVE MAG. - 1CV (220V);PC
CHAVE MAG. - 2CV (220V);PC
CHAVE MAG. - 3CV (220V);PC
CHAVE MAG. - 4CV (220V);PC
CHAVE MAG. - 5CV (220V);PC
CHAVE MAG. - 7.5CV (220V);PC
CHAVE MAG.- 10CV (220V);PC
CHAVE MAG.- 12CV (220V);PC
CHAVE MOTOR JNG - INVERSOR 220V ( 05 CV );PC
CHAVE MOTOR JNG - INVERSOR 220V ( 10 CV );PC
CHAVE SECCIONADORA TRIPOLAR SECA - 160A (TIPO PADRAO C6);PC
CHAVE SECCIONADORA TRIPOLAR SECA - 200A (TIPO PADRAO C6);PC
CHAVE SECCIONADORA TRIPOLAR SECA - 250A (TIPO PADRAO C6);UN
CHAVE SECCIONADORA TRIPOLAR SECA - 400A;PC
CHAVE SECCIONADORA TRIPOLAR WEG - 80A;PC
CHAVE SELETORA 110/220V;PC
CIMENTO;UN
CIMENTO ITAU 50KG;PC
CINTA ACO FERROSO ** PERFURADA ** - METRO;MT
CINTA AÇO INOX ** AJUSTADOR;PC
CINTA AÇO INOX ** FECHO;PC
CINTA ACO INOX ** LISA 3/4 ** - METRO;MT
CINTA P/ POSTE TUBULAR 150 MM2;MT
CINTA P/ POSTE TUBULAR 160 MM2;PC
CINTA P/ POSTE TUBULAR 170 MM2;PC
CINTA P/ POSTE TUBULAR 180 MM2;PC
CINTA P/ POSTE TUBULAR 190 MM2 *;PC
CINTA P/ POSTE TUBULAR 200 MM2;PC
CINTA P/ POSTE TUBULAR 210 MM2;PC
CINTA P/ POSTE TUBULAR 220 MM2;PC
CINTA P/ POSTE TUBULAR 230 MM2;PC
CINTA P/ POSTE TUBULAR 240 MM2;PC
CINTA P/ POSTE TUBULAR 250 MM2;PC
CINTA P/ POSTE TUBULAR 260 MM2;PC
CINTA P/ POSTE TUBULAR 270 MM2;PC
CINTA P/ POSTE TUBULAR 280 MM2;PC
CINTA P/ POSTE TUBULAR 290 MM2;PC
CINTA P/ POSTE TUBULAR 300 MM2;PC
CINTA P/ POSTE TUBULAR 310 MM2;PC
CINTA P/ POSTE TUBULAR 320 MM2;PC
CIRCUITO TV - KIT CAMERAS 4 PONTOS ** 2* COMUM **;PC
CIRCUITO TV - KIT CAMERAS 4 PONTOS ** INTELBRAS **EXPANSIVEL 8 PONTOS*;PC
CIRCUITO TV - CAMERA FALSA TIPO BULETTI C/ LED;PC
CIRCUITO TV - CAMERA ** WIFI SPEED DOME 360 GRAUS (COM MOVIMENTACAO);PC
CIRCUITO TV - CAMERA ** WIFI SPEED DOME 360 GRAUS (COM MOVIMENTACAO) 2 CAMERAS;PC
CIRCUITO TV - CAMERA ** WIFI - IM3 ** BR;PC
CIRCUITO TV - CAMERA ** WIFI - IM3 ** PT;PC
CIRCUITO TV - CAMERA ** WIFI - IM4 ** BR;PC
CIRCUITO TV - CAMERA ** WIFI - IM4 ** PT;PC
CIRCUITO TV - CAMERA ** WIFI - IM5 ** BR (32G DE MEMORIA);PC
CIRCUITO TV - CAMERA ** WIFI - IM5 ** BR;PC
CIRCUITO TV - CAMERA ** WIFI - IM5 ** PT;PC
CIRCUITO TV - 2* CAMERA INFRA. ** BULLET ** - EXTERNA;PC
CIRCUITO TV - 2* CAMERA INFRA. ** DOME ** - INTERNA;PC
CIRCUITO TV - BALUN COMUM (PAR-JOGO);PC
CIRCUITO TV - BALUN CONVERSSOR 502 A (BALUN ATIVO - FONTE 12V PARA 100MT);PC
CIRCUITO TV - BALUN POWER BALUN (POWER BALLUN COM 08 CANAIS);PC
CIRCUITO TV - BALUN POWER BALUN (POWER BALLUN COM 16 CANAIS);PC
CIRCUITO TV - CAIXA ORGANIZADORA DVR SOBREPOR CFTV EXTERNO VBOX500;PC
CIRCUITO TV - CAIXA SOBREPOR CFTV EXTERNO 80 X 81 X 45;PC
CIRCUITO TV - CAIXA SOBREPOR CFTV INTERNO 101 X 101 X 55 (SEM BORRACHA);PC
CIRCUITO TV - CAMERA INFRA * IP * BULLET - 1020 - EXTERNA;PC
CIRCUITO TV - CAMERA INFRA * IP * BULLET - 1220 - EXTERNA;PC
CIRCUITO TV - CAMERA INFRA * IP * BULLET - 1230 EXTERNA;PC
CIRCUITO TV - CAMERA INFRA * IP * BULLET - 3020 EXTERNA;PC
CIRCUITO TV - CAMERA INFRA * IP * BULLET - 3240 EXTERNA;PC
CIRCUITO TV - CAMERA INFRA * IP * BULLET - 3440 EXTERNA;PC
CIRCUITO TV - CAMERA INFRA * IP * DOME - 1230 EXTERNA;PC
CIRCUITO TV - CAMERA INFRA SPEED DOME - ** VIP ** 3220 G6 EXTERNA;PC
CIRCUITO TV - CAMERA INFRA SPEED DOME - ** VIP ** 5232 G6 EXTERNA;PC
CIRCUITO TV - CAMERA INFRA SPEED DOME - SUPORTE;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHD ** 1010 G4/5/6;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHD ** 1130 G4/5/6;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHD ** 1220 G4/5/6;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHD ** 1230 G4/5/6;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHD ** 1420 G4/5/6;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHD ** 3120 G4/5/6;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHD ** 3230 G4/5/6;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHD ** 3430 G4/5/6;PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHL ** 1120 G4/5/6 - ( SOMENTE DVR INTELBRAS );PC
CIRCUITO TV - CAMERA INFRA BULLET - ** VHL ** 1220 G4/5/6 - ( SOMENTE DVR INTELBRAS );PC
CIRCUITO TV - CAMERA INFRA DOME - ** VHC ** 1120 G4/5/6 - INTERNA;PC
CIRCUITO TV - CAMERA INFRA DOME - ** VHD ** 1010 G4/5/6 - INTERNA;PC
CIRCUITO TV - CAMERA INFRA DOME - ** VHD ** 1120 G4/5/6 - INTERNA;UN
CIRCUITO TV - CAMERA INFRA DOME - ** VHL ** 1010 G4/5/6 - INTERNA ( SOMENTE DVR INTELBRAS );PC
CIRCUITO TV - CAMERA INFRA DOME - ** VHL ** 1220 G4/5/6 - INTERNA ( SOMENTE DVR INTELBRAS );PC
CIRCUITO TV - CAMERA INFRA DOME - ** VMD ** 1120 G4/5/6 - INTERNO;PC
CIRCUITO TV - CAMUFLADOR DE CAMERA ACRILICO;PC
CIRCUITO TV - CONTROL ( MUDANCA TECNOLOGIA );PC
CIRCUITO TV - DOME GRADE PROTETOR (ALUM. FUND) - BR;PC
CIRCUITO TV - DOME GRADE PROTETOR (ALUM. FUND) - CZ;PC
CIRCUITO TV - DVR - 2* - 04 CANAIS (SEM HD);PC
CIRCUITO TV - DVR - 2* - 08 CANAIS (SEM HD);PC
CIRCUITO TV - DVR 04 CANAIS / 1004 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 04 CANAIS / 3004 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 08 CANAIS / 1108 ** INTELBRAS ** ( ** PROMOCIONAL C/ HD**);PC
CIRCUITO TV - DVR 08 CANAIS / 1108/1208 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 08 CANAIS / 3008/3108 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 08 CANAIS / 5008 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 16 CANAIS / 1116 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 16 CANAIS / 3116 ** INTELBRAS ** (C/ 4 TB) ( ** PROMOCIONAL C/ HD**);PC
CIRCUITO TV - DVR 16 CANAIS / 3116 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 32 CANAIS / 3132 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 32 CANAIS / 5132 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - DVR 32 CANAIS / 7132 ** INTELBRAS ** (SEM HD);PC
CIRCUITO TV - HD INTERNO PARA DVR 500GB;PC
CIRCUITO TV - HD INTERNO PARA DVR 1TB;PC
CIRCUITO TV - HD INTERNO PARA DVR 1TB ** PURPLE/INTELBRAS **;PC
CIRCUITO TV - HD INTERNO PARA DVR 2TB;PC
CIRCUITO TV - HD INTERNO PARA DVR 4TB;PC
CIRCUITO TV - HD INTERNO PARA DVR 8TB;PC
CIRCUITO TV - MESA CONTROL JOINSTIG CAMERA IP 200;PC
CIRCUITO TV - MONITOR 7 2 CH VIDEO;PC
CIRCUITO TV - MONITOR/TV 40 SMART;PC
CIRCUITO TV - NVR (NVD) 16 CANAIS / 3216 (SEM HD);PC
CIRCUITO TV - RACK ** BANDEJA ** 19P X 400MM;PC
CIRCUITO TV - RACK ** BANDEJA ** 19P X 500MM;PC
CIRCUITO TV - RACK ** BANDEJA ** 30X45 CM;PC
CIRCUITO TV - RACK ** KIT M5 ** (PARAFUSO RACK - PCT 50 PCS);PC
CIRCUITO TV - RACK ** KIT VENTILADORES **;PC
CIRCUITO TV - RACK ** REGUA 8 TOMADA 10A CALHA **;PC
CIRCUITO TV - RACK ** REGUA 8 TOMADA 20A CALHA **;PC
CIRCUITO TV - RACK PARA DVR 12U;PC
CIRCUITO TV - RACK PARA DVR 16U X 19P X 670MM;PC
CIRCUITO TV - RACK PARA DVR 24U;PC
CIRCUITO TV - RACK PARA DVR 32C;PC
CIRCUITO TV - RACK PARA DVR 470MM - BEGE;PC
CIRCUITO TV - RACK PARA DVR 5U X 19P X 350MM;PC
CIRCUITO TV - RACK PÍSO 16U;PC
CIRCUITO TV - RACK PÍSO 44U (670MM);PC
CIRCUITO TV - RACK EXTERNO PARA DVR 8C;PC
CIRCUITO TV - ROTEADOR GIGA DUAL BAND;PC
CIRCUITO TV - ROTEADOR HOTSPOT 300 INTELBRAS;PC
CIRCUITO TV - SWITCH * POE * 08 PORTAS (10/100) ** INTELBRAS **;PC
CIRCUITO TV - SWITCH * POE * 16 PORTAS (10/100) ** INTELBRAS **;PC
CIRCUITO TV - SWITCH * POE * 24 PORTAS (10/100) ** INTELBRAS **;PC
CIRCUITO TV - SWITCH 5 PORTAS (10/100) ** INTELBRAS **;PC
CIRCUITO TV - SWITCH 8 PORTAS (10/100) ** TP LINK **;PC
CIRCUITO TV - SWITCH 16 PORTAS (10/100) ** INTELBRAS **;PC
CIRCUITO TV - SWITCH 24 PORTAS (10/100) ** INTELBRAS **;PC
CIRCUITO TV - SWITCH GIGA 8 PORTAS (10/100/1000) ** INTELBRAS **;PC
CIRCUITO TV - SWITCH GIGA 16 PORTAS (10/100/1000) ** INTELBRAS **;PC
CIRCUITO TV - SWITCH GIGA 24 PORTAS (10/100/1000) ** INTELBRAS **;PC
COEL/ALTRONIC - RELE DE TEMPO 0/30MIN **AEG**;UN
COEL/ALTRONIC - RELE DE TEMPO 0/30SEG RT RETARDO;UN
COEL/ALTRONIC - RELE FALTA F + NIVEL INF (RNF) 220V;UN
COEL/ALTRONIC - RELE FALTA F + NIVEL INF (RNF) 380V;UN
COEL/ALTRONIC - RELE FALTA TRIF. C/ NEUTRO **440V FSN**;UN
COEL/ALTRONIC - RELE MONITOR DE TENSAO 220/480V;UN
COLA COMPOUND (KG);UN
COMANDO - (QUADRO DE PROTEÇAO PARA BOMBA);PC
CONCRETO FCK 20MPA USINADO;MT
CONDULETE - CAIXA 4X2 - 1/2 ( S/TAMPA );PC
CONDULETE - CAIXA 4X2 - 3/4 ( S/TAMPA );PC
CONDULETE - CAIXA 4X2 - 1 ( S/TAMPA );PC
CONDULETE - CAIXA 4X2 - 1 1/4 ( C/TAMPA );PC
CONDULETE - CAIXA 4X2 - 1 1/2 ( C/TAMPA );PC
CONDULETE - CAIXA 4X2 - 2 1/2 ( C/TAMPA );PC
CONDULETE - CAIXA 4X2 - 2 ( C/TAMPA );PC
CONDULETE - CAIXA 4X2 - 3 TRAMONTINA ( C/TAMPA );PC
CONDULETE - CAIXA 4X2 - 4 ( C/TAMPA );PC
CONDULETE - CAIXA 4X4 - 3/4 ( S/TAMPA );PC
CONDULETE - CAIXA 4X4 - 1 PISO ( S/TAMPA );PC
CONDULETE - TOMADA KEYSTONE ( RJ-11 );PC
CONDULETE - TOMADA KEYSTONE ( RJ-45 ) *CAT5*;PC
CONDULETE - TOMADA KEYSTONE ( RJ-45 ) *CAT6*;PC
CONDULETE - ( MARGIRIUS ) - TAMPA 3/4 (1 MODULO) - BR;PC
CONDULETE - ( MARGIRIUS ) - TAMPA 3/4 (1 MODULO) - PT;PC
CONDULETE - ( MARGIRIUS ) - TAMPA 3/4 (3 MODULO) - BR;PC
CONDULETE - ( MARGIRIUS ) - TAMPA 3/4 (3 MODULO) - PT;PC
CONDULETE - ( TRAMONTINA ) - CAIXA 4X2 - 3/4 ( S/TAMPA );PC
CONDULETE - ( TRAMONTINA ) - CAIXA 4X2 - 1 ( S/TAMPA );PC
CONDULETE - ( TRAMONTINA ) - TAMPA 1 (3 MODULOS);PC
CONDULETE - ( TRAMONTINA ) - TAMPA 3/4 (1 MODULO);PC
CONDULETE - ( TRAMONTINA ) - TAMPA 3/4 (3 MODULO);PC
CONDULETE - ( TRAMONTINA ) - TAMPA 3/4 CEGA;PC
CONDULETE - ( TRAMONTINA ) - TAMPA 1 - (1 MODULO);PC
CONDULETE - ( TRAMONTINA ) - TAMPA 1 - (2 MODULOS);PC
CONDULETE - ( TRAMONTINA ) - TAMPA 1 - CEGA;PC
CONDULETE - ( TRAMONTINA ) - TAMPA 1 - (1 KEYSTONE);PC
CONDULETE - ( TRAMONTINA ) - TAMPA 1 - (2 KEYSTONE);PC
CONDULETE - BUCHA REDUCAO - 1 - 3/4;PC
CONDULETE - BUCHA REDUCAO - 1 1/2 - 1 1/4;PC
CONDULETE - BUCHA REDUCAO - 1 1/2 - 1;PC
CONDULETE - BUCHA REDUCAO - 1 1/4 - 1;PC
CONDULETE - BUCHA REDUCAO - 1 - 1/2;PC
CONDULETE - BUCHA REDUCAO - 2 - 1 1/2;PC
CONDULETE - BUCHA REDUCAO - 2 - 1 1/4;PC
CONDULETE - BUCHA REDUCAO - 3/4 - 1/2;PC
CONDULETE SUPORTE 1 KEYSTONE RJ11/45;PC
CONDULETE TAMPA 3/4 - 1 TOM NBR;PC
CONDULETE TAMPA 3/4 - 1 TOM REDONDA;PC
CONDULETE TAMPA 3/4 - 2 TOM NBR;PC
CONDULETE TAMPA 3/4 - 1 KEYSTONE RJ11/45;PC
CONDULETE TAMPA 3/4 - 1 SECAO;PC
CONDULETE TAMPA 3/4 - 2 KEYSTONE RJ11/45;PC
CONDULETE TAMPA 3/4 - 2 SECAO;PC
CONDULETE TAMPA 3/4 - 3 SECAO;PC
CONDULETE TAMPA 3/4 - CEGA;PC
CONDULETE TAMPA 1 - 1 SECAO;PC
CONDULETE TAMPA 1 - CEGA;PC
CONDULETE TAMPA 1 1/4;PC
CONDULETE TAMPA 1 1/2;PC
CONDULETE TAMPA 2;PC
CONDULETE TOMADA UNIVERSAL 20A ILUMI;PC
CONDULETE TAMPAO - 1/2;PC
CONDULETE TAMPAO - 3/4;PC
CONDULETE TAMPAO - 1;PC
CONDULETE TAMPAO - 1 1/4;PC
CONDULETE TAMPAO - 1 1/2;PC
CONDULETE TAMPAO - 2;PC
CONDULETE TAMPAO - 3;PC
CONECTOR BNC P/ DVR - C/ BORNE;PC
CONECTOR BNC P/ DVR - C/ MOLA;PC
CONECTOR F P/ TV ** SIMPLES - ROSCA ** - RG/59;PC
CONECTOR F P/ TV ** SIMPLES - ROSCA ** - RG/6;PC
CONECTOR F P/ TV REFORCADO ** SKY ** - RG/6;PC
CONECTOR P4 FEMEA DE FONTE - C/ BORNE;PC
CONECTOR P4 MACHO DE FONTE - C/ BORNE;PC
CONECTOR RCA P/ DVR - C/ BORNE;PC
CONECTOR RCA MACHO X BNC FEMEA;PC
CONECTOR AL/AL - 1 PARAF.;PC
CONECTOR AL/AL - 2 PARAF.;PC
CONECTOR AL/CU - 1 PARAF. BIMETALICO;PC
CONECTOR CMZ BOX SEL TUBO FIXO - 2;PC
CONECTOR CMZ BOX SEL TUBO GIRATORIO - 1;PC
CONECTOR CMZ BOX SEL TUBO GIRATORIO - 3;PC
CONECTOR CMZ BOX SEL TUBO GIRATORIO - 3/4;PC
CONECTOR P/ HASTE ** SIMPLES ** (1/2);PC
CONECTOR P/ HASTE ** MEDIO ** (5/8);PC
CONECTOR P/ HASTE ** REFORCADO ** (5/8);PC
CONECTOR P/ HASTE ** GRAMPO TIPO GTBU (5/8);PC
CONECTOR P/ HASTE ** GRAMPO TIPO GTBU (70MM);PC
CONECTOR P/ HASTE ** GRAMPO TIPO GTBU 3/4);PC
CONECTOR PERFURANTE ALLUM. 4 DERIV. 35-120 / 6-50MM (GRANDE);PC
CONECTOR PERFURANTE B 16-95MM (PEQUENO) CPP001;PC
CONECTOR PERFURANTE C 35-120MM (MÉDIO) CPP002;UN
CONECTOR PERFURANTE D 150-150MM (GRANDE) CPP003;UN
CONECTOR SPLIT BOLT 10MM2 (COBRE);PC
CONECTOR SPLIT BOLT 16MM2 (COBRE);PC
CONECTOR SPLIT BOLT 25MM2 (COBRE);PC
CONECTOR SPLIT BOLT 35MM2 (COBRE);PC
CONECTOR SPLIT BOLT 50MM2 (COBRE);PC
CONECTOR SPLIT BOLT 70MM2 (COBRE);PC
CONECTOR SPLIT BOLT 95MM2 ( FUNDIDO );PC
CONECTOR SPLIT BOLT 120MM2 ( FUNDIDO );PC
CONECTOR SPLIT BOLT 150MM2 ( FUNDIDO );PC
CONECTOR SPLIT BOLT 185MM2 ( FUNDIDO ) ENCOMENDA;PC
CONECTOR SPLIT BOLT 240MM2 ( FUNDIDO ) ENCOMENDA;PC
CONECTOR SPLIT BOLT 300MM2 ( FUNDIDO ) ENCOMENDA;PC
CONECTOR SPLIT BOLT COM RABICHO 35MM (POSTE PADRAO);PC
CONECTOR SPLIT BOLT COM RABICHO 70MM;PC
CONTATO AUXILIAR OU ALARME (1NA+1NF) - PEÇA CONJUNTO BOMBA;PC
CONTATOR WEG - BLOCO CONTATO '' 1 NA '';PC
CONTATOR WEG - BLOCO CONTATO '' 1 NF '';PC
CONTATOR WEG CWL 9 (10 - 30D23);PC
CONTATOR WEG CWL12 (10 - 30D23);PC
CONTATOR WEG CWL18 (10 - 30D23);PC
CONTATOR WEG CWL25 (10 - 30D23);PC
CONTATOR WEG CWL32 (10 - 30D23);PC
CONTATOR WEG CWL40 (10 - 30D23);PC
CONTATOR WEG CWL65 (11 - 30V26);PC
CONTATOR WEG CWM50 (11 - 30D23);PC
CONTATOR WEG CWM80 (11 - 30D23);PC
CONTATOR - BLOCO CONTATO '' 1 NA + 1 NF '';PC
CONTATOR - BLOCO CONTATO '' 2 NA + 2 NF '';PC
CONTATOR 3TF - 41 - REF. CS(A) 12-11 ** TRIPOLAR ** - 12A * 24V *;UN
CONTATOR 3TF - 41 - REF. CS(A) 12-11 ** TRIPOLAR ** - 12A * 110V *;UN
CONTATOR 3TF 40 - CS (A) 9 10 / 220V - 9A;PC
CONTATOR 3TF 41 - CS (A) 12 10 / 220V - 12A;PC
CONTATOR 3TF 42 - CS (A) 18 10 / 220V - 18A;PC
CONTATOR 3TF 43 - CS (A) 25 10 / 220V - 25A;PC
CONTATOR 3TF 44 - CS (A) 32 10 / 220V - 32A;PC
